13, 25, 18, 8, 10, 21, 20, 17, 6, 0, 11, 7, 22, 4, 16, 14, 23, 5, 19, 12, 24, 2, 9, 15, 3, 1, 26, 27
14, 15, 26, 7, 17, 21, 23, 0, 19, 2, 11, 3, 25, 4, 18, 5, 1, 8, 10, 6, 9, 24, 20, 13, 16, 12, 27, 22
26, 23, 18, 19, 7, 0, 13, 2, 24, 4, 10, 11, 21, 12, 25, 1, 17, 8, 16, 3, 14, 27, 20, 5, 22, 9, 15, 6
17, 5, 13, 25, 10, 18, 19, 23, 21, 8, 4, 24, 0, 7, 12, 15, 11, 9, 2, 1, 20, 22, 14, 3, 27, 26, 16, 6
6, 18, 7, 17, 19, 9, 11, 8, 24, 1, 2, 21, 22, 14, 13, 23, 12, 3, 25, 4, 20, 26, 15, 0, 5, 27, 10, 16
14, 19, 6, 21, 25, 9, 23, 24, 5, 7, 8, 1, 17, 0, 12, 20, 11, 16, 26, 10, 13, 15, 27, 3, 22, 4, 2, 18
26, 24, 4, 16, 0, 19, 10, 11, 21, 13, 9, 12, 7, 6, 15, 5, 2, 17, 27, 14, 23, 3, 18, 1, 8, 25, 20, 22
2, 20, 7, 4, 3, 26, 18, 17, 0, 13, 1, 6, 23, 22, 9, 27, 11, 19, 12, 5, 10, 24, 21, 25, 16, 15, 14, 8
5, 15, 2, 19, 13, 25, 18, 4, 24, 14, 22, 26, 23, 10, 8, 11, 6, 1, 0, 3, 7, 21, 20, 9, 17, 16, 12, 27
9, 19, 25, 17, 6, 7, 23, 21, 4, 13, 12, 14, 15, 0, 10, 11, 5, 1, 8, 2, 26, 18, 16, 22, 3, 24, 27, 20
